eventID	taxonID	scientificName
120856	SH189764.07FU	SH189764.07FU
2454	SH189775.07FU	SH189775.07FU
3837	SH189787.07FU	SH189787.07FU
121370	SH189789.07FU	SH189789.07FU
169405	SH189802.07FU	SH189802.07FU
5570	SH189804.07FU	SH189804.07FU
109311	SH189805.07FU	SH189805.07FU
460	SH189807.07FU	SH189807.07FU
401	SH223403.07FU	SH223403.07FU
395	SH223403.07FU	SH223403.07FU
960836	SH461428.07FU	SH461428.07FU
157552	SH197092.07FU	SH197092.07FU
157801	SH197092.07FU	SH197092.07FU
189870	SH474847.07FU	SH474847.07FU
263427	SH191994.07FU	SH191994.07FU
263318	SH191994.07FU	SH191994.07FU
263316	SH191994.07FU	SH191994.07FU
5898	SH205686.07FU	SH205686.07FU
2291	SH205652.07FU	SH205652.07FU
18823	SH205652.07FU	SH205652.07FU
170440	SH205652.07FU	SH205652.07FU
170452	SH205652.07FU	SH205652.07FU
170455	SH205652.07FU	SH205652.07FU
176527	SH205652.07FU	SH205652.07FU
199240	SH205652.07FU	SH205652.07FU
199235	SH205652.07FU	SH205652.07FU
199241	SH205652.07FU	SH205652.07FU
177076	SH216351.07FU	SH216351.07FU
2932	SH208484.07FU	SH208484.07FU
11667	SH208484.07FU	SH208484.07FU
45	SH217381.07FU	SH217381.07FU
46	SH217381.07FU	SH217381.07FU
61371	SH217476.07FU	SH217476.07FU
114484	SH217476.07FU	SH217476.07FU
120357	SH217476.07FU	SH217476.07FU
170439	SH217476.07FU	SH217476.07FU
170452	SH217476.07FU	SH217476.07FU
170450	SH217476.07FU	SH217476.07FU
170456	SH217476.07FU	SH217476.07FU
170455	SH217476.07FU	SH217476.07FU
176529	SH217476.07FU	SH217476.07FU
185753	SH217476.07FU	SH217476.07FU
1474833	SH217476.07FU	SH217476.07FU
45	SH217481.07FU	SH217481.07FU
58	SH217481.07FU	SH217481.07FU
933815	SH217481.07FU	SH217481.07FU
933720	SH217481.07FU	SH217481.07FU
79954	SH217479.07FU	SH217479.07FU
79961	SH217479.07FU	SH217479.07FU
114484	SH217479.07FU	SH217479.07FU
185749	SH217479.07FU	SH217479.07FU
6207	SH217501.07FU	SH217501.07FU
40292	SH217486.07FU	SH217486.07FU
123348	SH217486.07FU	SH217486.07FU
1398643	SH522391.07FU	SH522391.07FU
235116	SH527215.07FU	SH527215.07FU
236925	SH527434.07FU	SH527434.07FU
868436	SH527485.07FU	SH527485.07FU
868441	SH527485.07FU	SH527485.07FU
1464740	SH533649.07FU	SH533649.07FU
961288	SH534542.07FU	SH534542.07FU
1398508	SH534542.07FU	SH534542.07FU
236148	SH535006.07FU	SH535006.07FU
236148	SH535011.07FU	SH535011.07FU
236494	SH535023.07FU	SH535023.07FU
236148	SH536112.07FU	SH536112.07FU
908581	SH217415.07FU	SH217415.07FU
40361	SH217417.07FU	SH217417.07FU
40304	SH217480.07FU	SH217480.07FU
61329	SH217480.07FU	SH217480.07FU
60714	SH217480.07FU	SH217480.07FU
867455	SH217480.07FU	SH217480.07FU
169039	SH217480.07FU	SH217480.07FU
1465900	SH217480.07FU	SH217480.07FU
1590529	SH217480.07FU	SH217480.07FU
1590530	SH217480.07FU	SH217480.07FU
109960	SH217490.07FU	SH217490.07FU
284969	SH177588.07FU	SH177588.07FU
284962	SH177588.07FU	SH177588.07FU
475347	SH177588.07FU	SH177588.07FU
933567	SH177589.07FU	SH177589.07FU
870058	SH177589.07FU	SH177589.07FU
949279	SH177783.07FU	SH177783.07FU
949379	SH177783.07FU	SH177783.07FU
939435	SH177783.07FU	SH177783.07FU
905978	SH177783.07FU	SH177783.07FU
905979	SH177783.07FU	SH177783.07FU
905980	SH177783.07FU	SH177783.07FU
403664	SH177783.07FU	SH177783.07FU
913039	SH177783.07FU	SH177783.07FU
483	SH177783.07FU	SH177783.07FU
484	SH177783.07FU	SH177783.07FU
485	SH177783.07FU	SH177783.07FU
466	SH177783.07FU	SH177783.07FU
436	SH177783.07FU	SH177783.07FU
4776	SH177783.07FU	SH177783.07FU
433	SH177783.07FU	SH177783.07FU
6842	SH177783.07FU	SH177783.07FU
18458	SH177783.07FU	SH177783.07FU
370	SH177783.07FU	SH177783.07FU
40304	SH177783.07FU	SH177783.07FU
61329	SH177783.07FU	SH177783.07FU
61933	SH177783.07FU	SH177783.07FU
40364	SH177783.07FU	SH177783.07FU
80506	SH177783.07FU	SH177783.07FU
110128	SH177783.07FU	SH177783.07FU
155952	SH177783.07FU	SH177783.07FU
156548	SH177783.07FU	SH177783.07FU
60	SH177783.07FU	SH177783.07FU
169405	SH177783.07FU	SH177783.07FU
170436	SH177783.07FU	SH177783.07FU
172693	SH177783.07FU	SH177783.07FU
936515	SH177783.07FU	SH177783.07FU
196457	SH177783.07FU	SH177783.07FU
199337	SH177783.07FU	SH177783.07FU
234650	SH177783.07FU	SH177783.07FU
234699	SH177783.07FU	SH177783.07FU
236148	SH177783.07FU	SH177783.07FU
1403579	SH177783.07FU	SH177783.07FU
