occurrenceID	eventID	taxonID	scientificName	organismQuantity	organismQuantityType	kingdom	phylum	class	order	family	genus	species
160	1397936	SH523631.07FU	SH523631.07FU	4	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
161	1401739	SH523631.07FU	SH523631.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
162	234778	SH524071.07FU	SH524071.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
163	1397936	SH523621.07FU	SH523621.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
164	199238	SH533480.07FU	SH533480.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
165	199312	SH533495.07FU	SH533495.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
166	21559	SH189338.07FU	SH189338.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
167	236148	SH189338.07FU	SH189338.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
168	961399	SH533591.07FU	SH533591.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora		
169	273973	SH533593.07FU	SH533593.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella radiosa	
170	172801	SH184863.07FU	SH184863.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
171	409	SH184870.07FU	SH184870.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentellopsis		
172	123552	SH185262.07FU	SH185262.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
173	170773	SH185262.07FU	SH185262.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
174	157461	SH185275.07FU	SH185275.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
175	867453	SH185277.07FU	SH185277.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella umbrinospora	
176	123658	SH185278.07FU	SH185278.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
177	170741	SH185282.07FU	SH185282.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
178	3839	SH185296.07FU	SH185296.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
